parameters,mean,std,mcse,ess_bulk,ess_tail,rhat,ess_per_sec
σ_w_e[1],0.39608157641487146,0.41329373092514865,0.015731837674062017,858.7215103962694,794.0960660768535,1.0018669541701486,0.0005452131722238795
σ_w_e[2],0.3061926430684251,0.3638502654058687,0.013982471285226616,559.5726849709075,398.358327693572,0.9995716786607165,0.00035527979090920354
ab_p_e[2,8],0.05513941427470692,0.10465274591678041,0.003454335525667135,923.2253052568815,780.6115212955972,1.004628492832566,0.0005861674492399563
ab_p_e[1,9],-0.7593245525284313,0.15587354753523452,0.003574931820679955,1899.0074035647422,840.1273730563867,0.9990719678118128,0.0012057038726051971
ab_p_e[2,9],-0.0758498415832738,0.10990632100866542,0.003388737448527629,1045.4544447613366,770.0067648396023,1.0031489544031766,0.0006637722793049056
ab_p_e[1,10],-0.6602355588413369,0.16027438101281669,0.003908886025561748,1686.0483652399246,805.4817093440502,1.002849428564871,0.0010704934796743842
ab_p_e[2,10],-0.34005181605997087,0.10458310068106164,0.002863466749607071,1330.552787911007,896.9892658944024,1.004590399266156,0.0008447848313168776
ab_p_e[1,11],-1.4332061130680254,0.1619425514573505,0.003918383312931841,1716.6961869850816,656.4370465107161,1.0022976015768212,0.0010899521701964352
ab_p_e[2,11],-0.6596076311847786,0.11222205133209168,0.0035160766000965926,1029.6223625115435,809.6288135696326,1.0007720871823855,0.0006537202895948356
ab_p_e[1,12],-1.0919550160598417,0.1556268618325253,0.0037931722651298825,1701.6865618499896,900.3642038278084,0.9986860515273208,0.0010804223689340696
ab_p_e[2,12],-0.33263416665088585,0.10688760275887393,0.0033465700420417526,1013.0062487635985,992.134900959836,1.0013530879461565,0.0006431705083480966
ab_p_e[1,13],0.6529519470001018,0.1510610918633335,0.003833767659217778,1554.8469086513653,637.02839596027,1.004797680031446,0.000987192011758398
ab_p_e[2,13],0.009341400208582845,0.1116889690626264,0.003597864462517009,967.851374560288,912.78013719023,1.0013619736778976,0.0006145011063269497
ab_p_e[1,14],0.16511439960494662,0.15599578285710738,0.003780741716677978,1701.5114788797737,746.7131636878047,1.0030226551616648,0.0010803112065369035
ab_p_e[2,14],-0.025524459235907303,0.11026550930611026,0.003390345644217422,1073.281223582514,976.0648450905762,1.0018275831332033,0.0006814398539145894
ab_p_e[1,15],0.691819121220973,0.15382240512375964,0.004150868833620165,1378.7990680194089,781.532716496595,1.0024913736189212,0.0008754170061342582
ab_p_e[2,15],0.26925731401647535,0.10410148497021478,0.0032774387401278693,1004.0256786231197,911.1336633649374,1.0065390609968141,0.0006374686305269506
ab_p_e[1,16],-0.20726316737266967,0.15813759526187018,0.003972268357228129,1564.2265388416306,799.8117874716094,1.0065509126197096,0.0009931472578636944
ab_p_e[2,16],0.17664396596091825,0.10780107263704831,0.0030878481837991736,1207.9098866552679,957.479600060498,0.9991972024792136,0.0007669172986711366
ab_p_e[1,17],0.5621240880327432,0.15499875323700402,0.003957904423065155,1544.7705635436694,743.7066864548763,1.0001783373398112,0.0009807944125203702
ab_p_e[2,17],0.136442302403277,0.10302959223478547,0.003274660876727904,971.9652294513786,682.1601288873554,1.0019220821326702,0.0006171130449450998
ab_p_e[1,18],-0.27650532783722775,0.15984239977966508,0.003968514170014018,1640.5594433026204,951.5121114522333,1.0097997379393133,0.0010416119865124893
ab_p_e[2,18],-0.1527390524451245,0.10101909969270241,0.003120697832456433,1051.4286494169703,897.1540633897063,1.001760262303727,0.0006675653775706164
ab_p_e[1,19],-0.7988979580299626,0.15698821049728526,0.0037604706596980537,1745.3133640477304,889.7052823385832,1.0056215672696696,0.0011081215786688272
