parameters,mean,std,naive_se,mcse,ess,rhat,ess_per_sec
b_p_s2[2],0.666584064653749,0.16175062434443319,0.005115003858826887,0.00976737234606712,215.38656258300355,1.013840889367722,0.014212290266263715
b_p_s2[3],0.137039024596493,0.162541461401789,0.005140012322419982,0.009664097747467352,244.74171823903515,1.01401147717152,0.01614929129358684
b_p_s2[4],-0.09005141681624831,0.15469611015262455,0.004891920532505914,0.009339108691944788,265.3529454561423,1.0110180948292005,0.01750932388076625
b_p_s2[5],0.10196762264795586,0.16366564176398665,0.005175562026873759,0.010576451040261442,218.95658498894227,1.0142003546888567,0.014447858326228986
b_p_s2[6],0.5240951697551616,0.16055901279074294,0.005077321792868555,0.0106293485659354,186.29938969589506,1.017499677388217,0.0122929720918197
b_p_s2[7],0.07588770723861674,0.16389563024179796,0.0051828349011285475,0.010534156641682337,208.02620905478807,1.0185950479246748,0.01372661706757007
b_p_s2[8],0.20483986103123727,0.15275533702271168,0.004830547897384129,0.010176817642677723,171.2944893048231,1.0172867696210832,0.011302873186777251
b_p_s2[9],-0.17414275871483142,0.15938382751204744,0.0050401591713347795,0.010222002874220273,192.36452222656067,1.0170584556105875,0.012693180085277787
b_p_s2[10],-0.4160925503503313,0.1543295366680471,0.00488032846109502,0.010644154694139193,188.74465831922276,1.022024720434241,0.012454323232006674
b_p_s2[11],-0.7539635371717939,0.15988954757023416,0.005056151443757808,0.010117956548115741,234.68476052841683,1.0127219922623858,0.015485682568582165
b_p_s2[12],-0.2908696776688632,0.15957398817023272,0.005046172579347002,0.00970271747362442,211.53031709906398,1.0147786443784845,0.013957835765952921
a_e_p,0.2786912282266347,0.6513909587958484,0.020598790770357728,0.07522381928967241,22.29033779248342,1.1368780427049878,0.0014708287603492365
b_e_p,0.022215891059061455,0.2955891664765905,0.009347350177367143,0.014914116981581144,281.15218001394817,1.0077383609878103,0.01855183695506163
σ_ePNP,4.038255963066669,0.021050714549072324,0.0006656820434911289,0.0006430316894034085,1005.0636019250103,0.9988166451233293,0.066319158796687
σ_pNP,4.411703617639676,0.02011994370803599,0.0006362484851176755,0.0006704722614461722,907.5196060211923,1.0014302405864675,0.05988271463373206
